Sample in Buffer,Sample in Window,TRIGGER,axi_spi_top_i/system_ila_0/inst/probe0_1,axi_spi_top_i/system_ila_0/inst/probe1_1,axi_spi_top_i/system_ila_0/inst/probe2_1,axi_spi_top_i/system_ila_0/inst/probe3_1,axi_spi_top_i/system_ila_0/inst/probe4_1,axi_spi_top_i/system_ila_0/inst/probe5_1,axi_spi_top_i/system_ila_0/inst/probe6_1,axi_spi_top_i/system_ila_0/inst/probe7_1,axi_spi_top_i/system_ila_0/inst/net_slot_0_axi_ar_cnt[1:0],axi_spi_top_i/system_ila_0/inst/net_slot_0_axi_araddr[6:0],axi_spi_top_i/system_ila_0/inst/net_slot_0_axi_aw_cnt[1:0],axi_spi_top_i/system_ila_0/inst/net_slot_0_axi_awaddr[6:0],axi_spi_top_i/system_ila_0/inst/net_slot_0_axi_b_cnt[1:0],axi_spi_top_i/system_ila_0/inst/net_slot_0_axi_bresp[1:0],axi_spi_top_i/system_ila_0/inst/net_slot_0_axi_r_cnt[1:0],axi_spi_top_i/system_ila_0/inst/net_slot_0_axi_rdata[31:0],axi_spi_top_i/system_ila_0/inst/net_slot_0_axi_rresp[1:0],axi_spi_top_i/system_ila_0/inst/net_slot_0_axi_wdata[31:0],axi_spi_top_i/system_ila_0/inst/net_slot_0_axi_wstrb[3:0],axi_spi_top_i/system_ila_0/inst/net_slot_0_axi_aw_ctrl[1:0],axi_spi_top_i/system_ila_0/inst/net_slot_0_axi_awvalid,axi_spi_top_i/system_ila_0/inst/net_slot_0_axi_awready,axi_spi_top_i/system_ila_0/inst/net_slot_0_axi_w_ctrl[1:0],axi_spi_top_i/system_ila_0/inst/net_slot_0_axi_wvalid,axi_spi_top_i/system_ila_0/inst/net_slot_0_axi_wready,axi_spi_top_i/system_ila_0/inst/net_slot_0_axi_bvalid,axi_spi_top_i/system_ila_0/inst/net_slot_0_axi_b_ctrl[1:0],axi_spi_top_i/system_ila_0/inst/net_slot_0_axi_bready,axi_spi_top_i/system_ila_0/inst/net_slot_0_axi_ar_ctrl[1:0],axi_spi_top_i/system_ila_0/inst/net_slot_0_axi_arvalid,axi_spi_top_i/system_ila_0/inst/net_slot_0_axi_arready,axi_spi_top_i/system_ila_0/inst/net_slot_0_axi_rvalid,axi_spi_top_i/system_ila_0/inst/net_slot_0_axi_r_ctrl[1:0],axi_spi_top_i/system_ila_0/inst/net_slot_0_axi_rready,AR_Channel_(i1:s0)_(jtag_axi_0_axi_periph_M00_AXI)[2:0],AW_Channel_(i1:s0)_(jtag_axi_0_axi_periph_M00_AXI)[2:0],B_Channel_(i1:s0)_(jtag_axi_0_axi_periph_M00_AXI)[2:0],Interface_(i1:s0)_(jtag_axi_0_axi_periph_M00_AXI)[2:0],R_Channel_(i1:s0)_(jtag_axi_0_axi_periph_M00_AXI)[2:0],W_Channel_(i1:s0)_(jtag_axi_0_axi_periph_M00_AXI)[2:0],slot_0___jtag_axi_0_axi_periph_M00_AXI___Write_Transactions_0[15:0]
0,0,0,1,1,1,1,0,1,1,1,0,64,0,6c,0,"OKAY",0,00000180,"OKAY",123456ab,f,0,0,0,0,0,0,0,2,1,0,0,0,0,2,1,"No Read Addr Cmds","_","_","_","No Read Data Beats","_","_"
1,1,0,1,1,1,1,0,1,1,1,0,64,0,6c,0,"OKAY",0,00000180,"OKAY",123456ab,f,0,0,0,0,0,0,0,2,1,0,0,0,0,2,1,"No Read Addr Cmds","_","_","_","No Read Data Beats","_","_"
2,2,0,1,1,1,1,0,1,1,1,0,64,0,6c,0,"OKAY",0,00000180,"OKAY",123456ab,f,0,0,0,0,0,0,0,2,1,0,0,0,0,2,1,"No Read Addr Cmds","_","_","_","No Read Data Beats","_","_"
3,3,0,1,1,1,1,0,1,1,1,0,64,0,6c,0,"OKAY",0,00000180,"OKAY",123456ab,f,0,0,0,0,0,0,0,2,1,0,0,0,0,2,1,"No Read Addr Cmds","_","_","_","No Read Data Beats","_","_"
4,4,0,1,1,1,1,0,1,1,1,0,64,0,6c,0,"OKAY",0,00000180,"OKAY",123456ab,f,0,0,0,0,0,0,0,2,1,0,0,0,0,2,1,"No Read Addr Cmds","_","_","_","No Read Data Beats","_","_"
5,5,0,1,1,1,1,0,1,1,1,0,64,0,6c,0,"OKAY",0,00000180,"OKAY",123456ab,f,0,0,0,0,0,0,0,2,1,0,0,0,0,2,1,"No Read Addr Cmds","_","_","_","No Read Data Beats","_","_"
6,6,0,1,1,1,1,0,1,1,1,0,64,0,6c,0,"OKAY",0,00000180,"OKAY",123456ab,f,0,0,0,0,0,0,0,2,1,0,0,0,0,2,1,"No Read Addr Cmds","_","_","_","No Read Data Beats","_","_"
7,7,0,1,1,1,1,0,1,1,1,0,64,0,6c,0,"OKAY",0,00000180,"OKAY",123456ab,f,0,0,0,0,0,0,0,2,1,0,0,0,0,2,1,"No Read Addr Cmds","_","_","_","No Read Data Beats","_","_"
8,8,0,1,1,1,1,0,1,1,1,0,64,0,6c,0,"OKAY",0,00000180,"OKAY",123456ab,f,0,0,0,0,0,0,0,2,1,0,0,0,0,2,1,"No Read Addr Cmds","_","_","_","No Read Data Beats","_","_"
9,9,0,1,1,1,1,0,1,1,1,0,64,0,6c,0,"OKAY",0,00000180,"OKAY",123456ab,f,0,0,0,0,0,0,0,2,1,0,0,0,0,2,1,"No Read Addr Cmds","_","_","_","No Read Data Beats","_","_"
10,10,0,1,1,1,1,0,1,1,1,0,64,0,6c,0,"OKAY",0,00000180,"OKAY",123456ab,f,0,0,0,0,0,0,0,2,1,0,0,0,0,2,1,"No Read Addr Cmds","_","_","_","No Read Data Beats","_","_"
11,11,0,1,1,1,1,0,1,1,1,0,64,0,6c,0,"OKAY",0,00000180,"OKAY",123456ab,f,0,0,0,0,0,0,0,2,1,0,0,0,0,2,1,"No Read Addr Cmds","_","_","_","No Read Data Beats","_","_"
